Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,30.770000,38.169998,30.559999,32.150002,30.716114,482490600
2020-07-01,32.419998,36.200001,32.180000,33.580002,32.082340,378955400
2020-08-01,34.240002,35.040001,31.889999,32.650002,31.193815,334054100
2020-09-01,33.150002,34.790001,29.469999,29.620001,28.683716,315093600
2020-10-01,29.820000,34.290001,29.160000,29.799999,28.951082,332288900
2020-11-01,29.799999,36.060001,29.799999,33.860001,32.895424,394978600
2020-12-01,34.529999,39.790001,34.340000,38.799999,37.912525,327227200
2021-01-01,38.799999,40.560001,32.520000,33.860001,33.186386,424655400
2021-02-01,34.320000,35.099998,27.910000,28.049999,27.491968,441378400
2021-03-01,28.650000,31.410000,27.020000,30.450001,30.302347,474134800
2021-04-01,30.770000,30.799999,29.000000,29.639999,29.639999,315579400
2021-05-01,29.820000,30.830000,28.809999,30.350000,30.350000,120604500
2021-05-13,0.000000,0.000000,0.000000,31.160000,31.160000,0
